CPM_ALARM_INST	SERVICE_TYPE_ID	预警业务类型id
CPM_MAIN_SHEET	SHEET_ID	工单ID
CPM_MAIN_SHEET	FLOW_INSTANCE_ID	流程实例ID
CPM_MAIN_SHEET	FLOW_ID	流程定义ID
CPM_MAIN_SHEET	FLOW_VERSION	流程定义版本号
CPM_MAIN_SHEET	SHEET_CODE	工单流水号
CPM_MAIN_SHEET	SHEET_TYPE_ID	工单类型
CPM_MAIN_SHEET	CALLER	主叫号码
CPM_MAIN_SHEET	MOBILE_NO	业务号码
CPM_MAIN_SHEET	AREA_ID	所属地域
CPM_MAIN_SHEET	ACCEPT_USER	定性人工号
CPM_MAIN_SHEET	ACCEPT_AGENT_CODE	受理人工号
CPM_MAIN_SHEET	ACCEPT_DEPARTMENT	受理部门
CPM_MAIN_SHEET	ACCEPT_TIME	受理时间
CPM_MAIN_SHEET	SERVICE_TYPE	业务产品类别
CPM_MAIN_SHEET	COMPLAINT_AREA	被投诉地市
CPM_MAIN_SHEET	SPECIAL_CUSTOMER	特殊客户
CPM_MAIN_SHEET	COMPLAINT_LEVEL	投诉级别
CPM_MAIN_SHEET	EMERGENCY_LEVEL	紧急程度
CPM_MAIN_SHEET	MAIN_TIME_LIMIT	总时限
CPM_MAIN_SHEET	ACCEPT_CHANNEL	受理渠道
CPM_MAIN_SHEET	LANGUAGE	语种
CPM_MAIN_SHEET	KEY_WORD	关键字
CPM_MAIN_SHEET	IS_SIMILAR	是否同类投诉
CPM_MAIN_SHEET	COMPLAINT_CONTENT	投诉内容
CPM_MAIN_SHEET	REMARK	备注
CPM_MAIN_SHEET	IS_DUANXINTIXING	短信提醒客户
CPM_MAIN_SHEET	IS_NEED_VISITS	是否需要回访
CPM_MAIN_SHEET	LAST_MODIFIER	修改人
CPM_MAIN_SHEET	LAST_MODIFY_TIME	修改时间
CPM_MAIN_SHEET	IS_SOLVED	是否解决
CPM_MAIN_SHEET	IS_PROLONGED	是否延时申请
CPM_MAIN_SHEET	NO_AREA	号码归属地
CPM_MAIN_SHEET	IS_MULTI	是否重复投诉
CPM_MAIN_SHEET	IS_BEYOND_LEVEL	是否越级投诉意向
CPM_MAIN_SHEET	IS_TIMELIMIT_REPLY	是否限时答复
CPM_MAIN_SHEET	IS_KB_CORRECT	是否知识库修正
CPM_MAIN_SHEET	IS_MANAGE	是否管理督办
CPM_MAIN_SHEET	IS_EXAMPLE	是否典型案例
CPM_MAIN_SHEET	IS_SHEET_ERROR	是否工单差错
CPM_MAIN_SHEET	IS_SECOND_REPLY	是否需二次答复
CPM_MAIN_SHEET	CUSTOM_LEVEL	客户级别
CPM_MAIN_SHEET	CUSTOM_BRAND	客户品牌
CPM_MAIN_SHEET	RELATION_NO	联系电话
CPM_MAIN_SHEET	TURN_COUNT	流转次数
CPM_MAIN_SHEET	URGE_COUNT	催单次数
CPM_MAIN_SHEET	DEAL_VIEW_COUNT	中途意见条数
CPM_MAIN_SHEET	SHEET_FLAG	generalCode表中的codeType=SHEET_FLAG
CPM_MAIN_SHEET	COMPLAIN_CATEGORY	投诉内容类别
CPM_MAIN_SHEET	DETERMINE_PRODUCT_CATEGORY	分层分级分数
CPM_MAIN_SHEET	BUSINESS_TYPE	业务类别
CPM_MAIN_SHEET	PRODUCT_TYPE	产品类别
CPM_MAIN_SHEET	PROBLEM_CHANNEL	问题发生渠道
CPM_MAIN_SHEET	ORGANZATION_TYPE	业务组织方式
CPM_MAIN_SHEET	SERVICE_REQUIRE	服务需求
CPM_MAIN_SHEET	IS_OVER	工单结束标示，不管以哪种方式结束的。
CPM_MAIN_SHEET	END_TIME	归档时间
CPM_MAIN_SHEET	IS_CROSS_PROVINCE	"是否跨省，0未跨省提单，1已跨省提单，2跨省工单已处理完成
"
CPM_MAIN_SHEET	SATISFIED_LEVEL	即时答复时填写的满意度。generalCode表中的codeType=SHEET_SATISFIED_LEVEL
CPM_MAIN_SHEET	CLONE_SHEET_ID	克隆工单原工单流水号
CPM_MAIN_SHEET	RELATED_PROVINCE	工单进行跨省操作时，把跨省省份也保存到这个字段中，以逗号分隔。
CPM_MAIN_SHEET	CUSTOM_ROW_ID	客户资料信息行ID
CPM_MAIN_SHEET	ONE_TIME_COMPELTE	枚举类型 0否 1是
CPM_MAIN_SHEET	ENTITY_VERSION	实体版本号
CPM_MAIN_SHEET	IS_QUALITY_TEST	是否需质检
CPM_MAIN_SHEET	IS_ARRIVE_QT_POOL	是否已抽到质检单池中
CPM_MAIN_SHEET	BUSS_STATUS	generalCodeType=CPM_BUSS_STATUS:20-待处理、21-处理中、23-子工单处理完成、24-子工单误派返单、25-结束
CPM_MAIN_SHEET	DUTY_DEPT	责任部门
CPM_MAIN_SHEET	FAULT_REASON	故障原因
CPM_MAIN_SHEET	CUST_INFLUENCE_DEGREE	督办问题客户影响程度
CPM_MAIN_SHEET	INFLUENCE_RANGE	督办问题影响范围
CPM_MAIN_SHEET	UNKNOW_RISK	工单级别
CPM_MAIN_SHEET	OTHER_FACTOR	督办问题其它因素
CPM_MAIN_SHEET	SUPERVISE_PROBLEM	督办问题
CPM_MAIN_SHEET	PROBLEM_COMPLEX	督办问题复杂性
CPM_MAIN_SHEET	PROBLEM_PROPERTY	督办问题属性
CPM_MAIN_SHEET	PROBLEM_REMARK	督办问题描述
CPM_MAIN_SHEET	REMEDY_SHEET_CODE	补救单流水号
CPM_MAIN_SHEET	REMEDY_AMOUNT	补救金额
CPM_MAIN_SHEET	REMEDY_MONTH	补救月份
CPM_MAIN_SHEET	IS_REPEAT_PAY	枚举类型 1-是 0-否
CPM_MAIN_SHEET	FLAG	"枚举类型：1-客户问题单；2-服务补救单；3-管理督办单
"
CPM_MAIN_SHEET	DOMAIN_ID	租户ID
CPM_MAIN_SHEET	SUPERVISE_FLAG	未解决工单状态：0-未添加到管理督办单，1-已添加到管理督办单，2-失效（出库）
CPM_MAIN_SHEET	IS_FOLLOW_SIMILAR	是否同类投诉从单
CPM_MAIN_SHEET	IS_UPDATE	是否升级督办
CPM_MAIN_SHEET	UNSOLVED_REASON	generalCode表中CPM_UNSOLVED_REASON 01-本月有同问题重复工单，02-上月有同问题重复工单 ，03-用户说未解决 ，04-工单无解决方案 ，05-网络后期解决
CPM_MAIN_SHEET	COMMIT_CHANNEL	提交渠道
CPM_MAIN_SHEET	SER_SIGNAL_CONDITIONS	信号状况(NX_主干编码)
CPM_MAIN_SHEET	SER_USER_REQUIRE	用户要求（话务员点选）现修改为：实际承诺服务补救内容
CPM_MAIN_SHEET	SER_SPECIFIC_PHENOMENON	具体现象
CPM_MAIN_SHEET	SER_OCCURRENCE_TIME	出现时间
CPM_MAIN_SHEET	SER_CHANGE_TEST_COMDITIONS	换机换卡测试情况(NX_主干线序 )
CPM_MAIN_SHEET	SER_CALL_PLACE	主叫位置
CPM_MAIN_SHEET	SER_BUY_PLACE	购买地点(NX_配线架编码  )
CPM_MAIN_SHEET	SER_DISPUTE_BY	争议是由（NX_交接箱编号）
CPM_MAIN_SHEET	SER_ACCESS_CODE	接入代码
CPM_MAIN_SHEET	SER_DEDUCTION_AMOUNT	扣费金额
CPM_MAIN_SHEET	SER_OPEN_TIME	开通时间
CPM_MAIN_SHEET	SER_OPEN_USERCODE	开通工号
CPM_MAIN_SHEET	SER_COST_CONDITIONS	费用情况
CPM_MAIN_SHEET	SER_IS_PARAMETER_RIGHT	参数设置是否正常
CPM_MAIN_SHEET	SER_BUSINESS_NAME	业务名称
CPM_MAIN_SHEET	SER_EXPLAIN_OPERATE	10010多次已向用户解释并指导其判断操作
CPM_MAIN_SHEET	SER_DETAIL_CONTENT	详单内容
